이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,키워드
우림닭한마리,닭요리,4.5,92,"서울 중랑구 용마산로115길 26 1층
(지번) 망우동 470-24",37.59901346,127.0988383,02-433-5512,"닭한마리 (4인분) (52,000원), 닭한마리 (3인분) (39,000원), 닭한마리 (2인분) (26,000원), 닭매운탕 (2인분) (28,000원), 반계탕 (점심메뉴) (9,000원), 닭곰탕 (점심메뉴) (8,000원), 닭칼국수 (점심메뉴) (8,000원)",영업시간 매일 11:00 ~ 22:30,"친절한,깔끔한,맛있는,시장,닭한마리,닭매운탕,칼국수,가성비,단골,가족과함께,동네맛집"
닭터,닭요리,4.7,64,"서울 중랑구 용마산로129나길 3 청기와타운 1층 101호
(지번) 신내동 391-4",37.60729812,127.0998499,02-433-3914,"세트 1 (33,000원), 참나무 장작구이 (18,000원), 튤립불닭발 (16,000원), 누룽지 닭죽 (5,000원), 콘치즈 (6,000원)","월~토 17:00 – 23:00 (라스트오더 22:30), 일요일 정기휴무","친절한,담백한,맛있는,깔끔한,고소한,콘치즈,닭발,누룽지통닭,장작구이,생맥주,외식,가성비,동네맛집,단골,평일저녁"
서천칼국수,칼국수,4.7,54,"서울 중랑구 겸재로64길 77
(지번) 면목동 50-34",37.58711282,127.0948627,02-436-6689,"칼국수 (8,000원), 콩국수 (9,000원), 새알팥죽 (10,000원), 팥칼국수 (10,000원)",영업시간 매일 11:00 ~ 20:00,"친절한,푸짐한,로컬,칼국수,콩국수"
피제리아 디 파올로,피자,4.9,110,"서울 중랑구 양원역로14가길 27 1층
(지번) 망우동 613-7",37.60761102,127.1071532,070-7672-0506,"차콜 머쉬룸 샐러드 (17,000원), 리코타치즈 샐러드 (18,000원), 마리나라 (16,000원), Classic 마르게리따 (18,000원), 루꼴라 에 프로슈토 (22,000원), 카르니 에 치폴라 피자 (22,000원), 갈릭 포르마지오 피자 (22,000원), 멜라 에 꼬또 피자 (23,000원), 풍기 에 꼬또 피자 (24,000원), 화이트 라구 파스타 (23,000원), 아라비아따 (21,000원), 잠봉 크레마 파스타 (21,000원), 볼로네제 (21,000원), 보타르가 에 감베로니 파스타 (21,000원), 봉골레 오일 파스타 (20,000원), 풍기 크레마 (22,000원), 스파이시 크랩 리조또 (23,000원), 차콜 로스트 치킨 (24,000원)",영업시간 화~일 11:30 ~ 21:30 · 휴게시간 화~일 14:30 ~ 16:30,"신선한,다양한,친절한,맛있는,데이트하기좋은,파스타,피자,와인,단체모임"
황박사왕족발,"족발,보쌈",4.7,63,"서울 중랑구 면목로 363 1층
(지번) 면목동 501-3",37.58455509,127.0882399,02-491-0048,"도드람한돈 직화불족발 (1.5~2인분) 32,000원,건강한 황족발 (1.5~2인분) 30,000원,건강한 황족발 (2~3인분) 38,000원,건강한 황족발 (3~4인분) 46,000원,반반황족발 (2.5~3인분) 44,000원,황족발주는 막국수 22,000원,황족발주는 비빔밥 18,000원,쟁반막국수 (1~1.5인분) 8,000원,쟁반막국수 (2~3인분) 12,000원,쟁반막국수 (3~4인분) 16,000원,비빔밥 6,000원,진공 직화불족발 (600g) 15,000원,진공 직화불족발(300g) 8,000원",영업시간 월~금 15:00 ~ 24:00,"친근한,맛있는,친절한,오래된,tv방송,족발,매운족발,쟁반국수,외식,단골,가족과함께,술한잔"
숯불닭갈비에반하닭,닭요리,4.7,106,"서울 중랑구 면목로 352 1층
(지번) 면목동 458-1",37.58333575,127.0886262,02-433-9294,"양념 숯불닭갈비 250g~300g (13,000원), 간장 숯불닭갈비 250g~300g (13,000원), 불닭발 (14,000원), 메밀 비빔 막국수 (8,000원), 메밀 물 막국수 (8,000원), 도토리 묵밥（묵사발＋공기밥） (8,000원), 계란찜 (8,000원), 또띠아 셋트 (5,000원), 또띠아 추가 (1,000원), 잔치국수 (8,000원), 주먹밥 (3,000원), 공기밥 (1,000원), 된장찌개 (4,000원), 음료수（코카콜라） (2,000원), 음료수（스프라이트） (2,000원), 음료수（환타 파인애플） (2,000원), 처음처럼 (4,000원), 참이슬 후레쉬 (4,000원), 진로이즈백 (4,000원), 청하 (5,000원), 카스 (4,000원), 테라 (4,000원), 복분자주 (12,000원)",영업시간 매일 16:00 ~ 01:00,"친숙한,편한,반려동물동반,숯불닭갈비,저녁,술한잔"
경미양꼬치,양꼬치,4.7,210,"서울 중랑구 면목로 277 1층
(지번) 면목동 353-3",37.57760969,127.0856667,02-491-7113,"양꼬치 (15,000원), 매운양꼬치 (15,000원), 마라양꼬치 (16,000원), 양삼겹꼬치 (15,000원), 매운양삼겹꼬치 (15,000원), 마라양삼겹꼬치 (16,000원), 갈비살꼬치 (18,000원), 매운갈비살꼬치 (18,000원), 마라갈비살꼬치 (19,000원), 새우꼬치 (12,000원), 양갈비 (30,000원), 찹쌀탕수육 (18,000원), 어향육사 (17,000원), 어향가지 (15,000원), 가지튀김볶음 (15,000원), 삼선누룽지 (20,000원), 돼지고기튀김 (18,000원), 향라대하 (27,000원), 양갈비찜 (27,000원), 마라룽샤꼬리 (33,000원), 물만두 (8,000원), 온면 (8,000원), 냉면 (8,000원), 볶음밥 (8,000원), 새우볶음밥 (10,000원), 마파두부 (15,000원), 건두부볶음 (15,000원), 된장가지볶음 (15,000원), 토마토계란볶음 (15,000원), 삼겹살백김치찜 (17,000원), 해선짬뽕탕 (18,000원), 오이양장피무침 (14,000원), 건두부무침 (14,000원)",영업시간 매일 12:00 ~ 24:00,"맛있는,친절한,깔끔하고,다양한,편하게,튀김,꿔바로우,양고기,온면,가지튀김,동네맛집,평일저녁,단골,외식,술한잔"
오자매양꼬치,양꼬치,4.5,74,"서울 중랑구 중랑역로 227 1층
(지번) 묵동 235-19",37.61381468,127.0752092,010-6572-3939,"꼬치류(26,000원),마라룽샤꼬리(가재꼬리)(大)(30,000원),마라룽샤꼬리(가재꼬리)(中)(18,000원),마라대하(25,000원),마라샹궈(25,000원),향라육사(돼지고기+고수)(25,000원),향라양갈비(20,000원),고추잡채(꽃빵4개포함)(20,000원),어향육사(꽃빵4개포함)(20,000원),경장육사(20,000원),꿔바로우(탕수육)(18,000원),쯔란양고기(18,000원),향라닭윙(18,000원),향라오징어(18,000원),향라대하(18,000원),깐풍새우(18,000원),깐풍기(18,000원),라조기(18,000원),가지튀김볶음(단짠맛)(16,000원),어향가지튀김(새콤달콤매콤한맛)(16,000원),마파두부(마라맛강함)(13,000원),부추계란볶음(13,000원),토마토계란볶음(13,000원),건두부볶음(13,000원),오이무침(13,000원),건두부무침(10,000원),숙주볶음(10,000원),꽃빵튀김(꽃빵6개.연유포함)(10,000원),토마토계란탕(10,000원),마라탕(15,000원)",영업시간 화~일 13:00 ~ 24:00,"다양한,친절한,맛있는,적당한,기분좋게,양꼬치,온면,마파두부,가지튀김,양갈비,동네맛집,저녁,술"
밍차이나,중식,4.9,115,"서울 중랑구 공릉로 22 1층
(지번) 묵동 174-8",37.61267596,127.0780654,010-9689-7111,"국내산 돼지고기 안심탕수육 (18,000원), 유린기 (19,000원), 사천 탕수육 (20,000원), 깐풍기 (19,000원), 멘보샤(6p) (23,000원), 마파두부 (16,000원), 크리Ming 새우 (18,000원), 어향소스 가지 (18,000원)",영업시간 월~토 16:00 ~ 02:00,"이색적인,힙한,중화요리,탕수육,동파육,다양한,모임,술"
소믈(soml),양식,4.7,122,"서울 중랑구 양원역로14가길 13 1층 102호
(지번) 망우동 613-2",37.60764457,127.1062199,010-4227-9308,"소믈리치버거 (17,000원), 명란 알리오올리오 (12,000원), 햄에그샌드위치 (5,900원), 아메리카노 (4,200원), 하우스와인 (7,000원), 소믈 투움바 파스타 (19,000원), 미나리 프라운 알리오올리오 (18,000원), 트러플 화이트 라구 파스타 (23,000원), 부라타 포모도로 (16,000원)",영업시간 매일 11:00 ~ 24:00,"맛있는,친절한,가성비좋은,와인마시기좋은,데이트하기좋은,테라스,콜키지,파스타,알리오올리오,샐러드,브런치,데이트코스,술한잔,사진찍기좋은"
대감주물럭,"육류,고기",4.8,76,"서울 중랑구 봉우재로33길 79 1층
(지번) 상봉동 89-17",37.59563545,127.0894866,02-433-8655,"투뿔 갈비살(47,000원),꽃등심 no.9(49,000원),투뿔 안창살(70,000원),투뿔 넘버나인 살치살(53,000원),소 주물럭(25,000원),투뿔 차돌박이(25,000원)",영업시간 매일 15:00 ~ 24:00,"편안한,친절한,맛있는,특별한,다양한,한우,살치살,육회,갈비살,신선한,접근성,단체모임,외식"
다락방호프,"호프,요리주점",4.8,52,"서울 중랑구 용마산로115길 60 1층
(지번) 망우동 490-26",37.59855156,127.0969521,02-432-6623,"치킨뱅이(39,000원),골뱅이 대(26,000원),치킨+과일(23,000원),후라이드치킨(18,000원)",영업시간 매일 14:00 ~ 00:30,"가성비좋은,맛있는,친절한,노포,레트로,안주,호프집,과일,골뱅이소면,후라이드치킨,동네맛집,단골집,단체모임"
돈다발,"육류,고기",4.5,209,"서울 중랑구 면목로37길 17
(지번) 면목동 655-4",37.57908986,127.085267,02-434-7016,"돈다발한마리세트(삼겹살360g+목살160g+돈치맛살150g+버섯사리)(69,000원),돈다발실속세트(삼겹살180g+목살180g+돈치맛살120g+버섯사리)(49,000원),명품삼겹살(180g)(17,000원),명품목살(180g)(17,000원),명품돈치맛살(150g)(18,000원),계란찜(5,000원),물냉면(5,000원),비빔냉면(5,000원),날치알버터볶음밥(4,000원),우렁된장술밥(4,000원),시골집우렁된장찌개(3,000원)","월, 수, 목, 금, 토, 일 12:00–23:00, 라스트오더 22:30, 화요일 정기휴무","친절한,맛있는,노포,편하게,깔끔한,갈치,삼겹살,반려동물동반,목살,넓은공간,데이트코스,외식,가족과함께,단골집"
사가정누룽지통닭구이,치킨,5,121,"서울 중랑구 면목로48길 26 1층
(지번) 면목동 462-13",37.5820741,127.0900514,02-433-9279,"누룽지통닭 (22,000원), 누룽지치즈콘닭 (25,000원), 누룽지양파닭 (24,000원), 누룽지파닭 (24,000원), 누룽지치즈파닭 (27,000원), 누룽지양념닭 (24,000원), 누룽지매워죽겠닭 (26,000원), 누룽지모듬닭 (28,000원), 누룽지모듬/매워 (29,000원), 누룽지통닭/양념 반반 (23,000원), 누룽지파닭/양념 반반 (24,000원), 누룽지치즈콘/양념 반반 (26,000원), 누룽지치즈콘/매워 반반 (27,000원)",영업시간 매일 17:30 ~ 23:00,"편안한,친숙한,치킨,누룽지통닭,술한잔,저녁식사,단체모임"
주릉 도원 사가정본점,술집,5,421,"서울 중랑구 사가정로51길 39 1층
(지번) 면목동 595-51",37.582604,127.087742,0507-1381-9160,"도원 수육 한상 (22,000원), 도원결의 (15,000원), 수육&차돌된장전골&국수 set (45,000원), 수육&차돌된장전골 set (39,000원), [계절메뉴]자메이카 닭 전골 (19,000원), 차돌 된장 전골 (19,000원), 한우 투뿔 육회 (21,000원), 골뱅이 무침 (18,000원), 삼겹 두부김치 (18,000원), 낙지볶음 (18,000원), 먹태 (16,000원), 꼬치오뎅탕 (16,000원), 돼지고기 김치찌개(feat.라면사리) (18,000원), 순살 닭도리탕 (18,000원), 김치전 (10,000원), 부추전 (10,000원), 감자전 (10,000원), 들기름막국수 (7,000원), 고기국수 (7,000원), 비빔국수 (7,000원), 된장술밥 (8,000원), 전주감태주먹밥 (8,000원), 고추튀김 (8,000원), 메밀전병 (6,000원), 파인샤베트 (8,000원), 붕어사시미 (3,000원), 홍시아이스크림 (6,000원), 꿀토마토 (6,000원), 감자술 (12,000원), 밀담 (10,000원), 화요 (30,000원), 만월 (25,000원), 서울고량주레드 (28,000원)",매일 18:00 ~ 03:00,"맛있는,구수한,깔끔하고,다양한,수육,전골,전통주,막걸리,두부,안주,단체모임,술한잔,접근성"
까무리,술집,4.7,264,"서울 중랑구 망우로48길 38 1동 101호
(지번) 상봉동 103-16",37.59533837,127.0886843,02-493-5792,"한판모듬 수제꼬치 (28,000원),까무리 모듬 오뎅탕 (24,000원),해물 국물떡볶이 (25,000원),눈꽃치즈볼닭 (19,000원),사장님 홈런셋트 (52,000원),주방장 안타셋트 (47,000원),알바 셋트 (41,000원),한판 불향 양꼬치 (28,000원),나가사끼 오뎅탕 (28,000원),두툼 벌집 껍데기 볶음 (20,000원),모찌리도후 (13,000원),오코노미야끼 (15,000원),치킨가라아게 (16,000원),문어가라아게 (20,000원),새우튀김 (12,000원),마라 유부주머니 오뎅탕 (28,000원),빨간꼬치오뎅탕 (28,000원),빨간꼬챙이 오뎅탕 (30,000원),모듬감자튀김 (11,000원),해쉬브라운 (12,000원),새우깡 튀김 (16,000원),쿠시카츠 (15,000원),닭연골 튀김 (15,000원),매콤 오돌뼈 (18,000원),매콤 불족발 (20,000원),닭껍질튀김 (15,000원),먹태 (15,000원),족발 편육 (18,000원),칠리새우 (18,000원),해물 누룽지탕 (24,000원),타코야끼 (13,000원),닭껍질 교자 (15,000원)","월~목 16:00–05:00 (라스트오더 04:30), 금~일 16:00–06:00 (라스트오더 05:30),","맛있는,가성비좋은,깔끔한,다양한,친절한,오뎅탕,꼬치구이,안주,포차,세트메뉴,접근성,술한잔,단체모임,소주"
중랑교집,"육류,고기",4.8,228,"서울 중랑구 봉우재로43길 38
(지번) 상봉동 88-91",37.59513161,127.0894977,02-2207-1003,"선별육급랭삼겹살(계란찜+된장찌개) (14,000원), 모듬야채(버섯.꽈리고추.대파) (3,000원), 볶음밥 (3,000원), 순두부열라면 (6,000원), 대파차돌박이 (14,000원), 물/비빔냉면 (6,000원), 청국장 (10,000원), 뚝배기 돼지김치찌개 (10,000원)","영업시간 월,화,목,금,토,일 15:00 ~ 22:30","다양한,맛있는,친절한,레트로,냉삼,청국장,순두부,김치찌개,단체모임,저녁식사,단체회식,외식,접근성"
이태리전기구이통닭,치킨,4.5,113,"서울 중랑구 망우로32길 23
(지번) 상봉동 129-9",37.59293967,127.0771212,02-435-1009,"누룽지통닭+파스타세트(32,800원),누룽지통닭+국물떡볶이세트(32,000원),한방전기구이통닭大+파스타(30,800원),한방전기구이통닭大+국물떡볶이(30,000원),해산물크림파스타(14,800원),미트볼토마토파스타(14,800원),매콤베이컨크림파스타(13,800원),봉골레파스타(13,800원),토마토미트파스타(12,800원),할라피뇨해장파스타(12,800원),한방전기구이통닭(20,000원),누룽지통닭(22,000원),누룽지치즈콘통닭(26,000원),누룽지청양크림통닭(27,000원),누룽지투움바크림통닭(27,000원),누룽지로제크림통닭(27,000원),누룽지양념통닭(24,000원),전기구이파계장(24,800원),상하이해물짬뽕파스타(19,800원),백골뱅이탕(19,800원),국물통닭발(17,800원),얼큰조개탕(14,800원),모듬어묵탕(14,800원),모듬튀김플래터(14,800원),마른안주_산더미먹태(14,800원),마른안주_반건조버터구이오징어(14,800원),국물떡볶이(12,000원),바삭바삭꾸이튀김(6,900원),짭쪼롬쥐포(9,000원)",영업시간 월~토 16:30 ~ 24:00,"다양한,친절한,맛있는,깔끔한,건강한,누룽지통닭,야식,국물떡볶이,콘치즈,생맥주,단체모임,접근성"
총각집곱창,"곱창,막창",4.7,58,"서울 중랑구 중랑역로 100 1층
(지번) 중화동 306-49",37.60244359,127.0778196,02-496-7757,"야채곱창 (9,000원), 오돌뼈 (9,000원), 오징어볶음 (9,000원), 뼈없는닭발 (9,000원), 닭똥집 (9,000원)",영업시간 매일 15:30 ~ 23:20,"가성비좋은,편안한,돼지곱창,술한잔,동네"
포즈,디저트카페,4.7,52,"서울 중랑구 동일로 951 1-2층
(지번) 묵동 234-1",37.61515,127.0760571,02-971-6605,"바닐라 아이스크림 크로플(6,800원),브라운 치즈 크로플(7,800원),플레인 크로플(5,500원),오레오 크로플(7,500원),로투스 크로플(7,500원)",영업시간 매일 09:00 ~ 22:00,"다양한,맛있는,조용한분위기,쾌적한,달콤한,크로플,디저트,케이크,빙수,노트북,넓은공간,공부하기좋은,사진찍기좋은"
망우찜쌈밥 본점,쌈밥,5,85,"서울 중랑구 용마공원로2길 8 1층
(지번) 망우동 410-2",37.59459114,127.1003148,0502-5551-2889,"원조 삼겹살 찜쌈밥정식 (13,000원), 국내산 생삼겹살 찜쌈밥정식 (16,000원), 국내산 오리로스 찜쌈밥정식 (15,000원), 국내산 훈제오리 찜쌈밥정식 (15,000원), 제주흑돼지 제육 찜쌈밥정식 (15,000원), 제주흑돼지 불고기 찜쌈밥정식 (15,000원), 돈까스 (8,000원), 열무비빔밥 (8,000원), 물냉면 (7,000원), 비빔냉면 (7,000원), 고등어구이 (11,000원), 임연수구이 (12,000원), 열무냉면 (7,000원)","영업시간 월,화,목,금,토,일 11:00 ~ 21:30","친절한,신선한,건강한,오래된,쌈밥,시장,쌈채소,제육,점심,건강식"
왕십리불곱창,"곱창,막창",4.5,101,"서울 중랑구 상봉로 102 1층
(지번) 망우동 516-3",37.59502315,127.0933148,02-6013-3336,"소금구이 막창 (14,000원), 양념구이 막창 (14,000원), 뼈없는 닭발 (14,000원), 볶음밥 (4,000원), 계란찜 (4,000원), 사이다 500mL (2,000원), 상추 (500원), 부추 (1,000원), 쌈무 (1,000원), 양념장 (500원), 매운양념장 (500원)",영업시간 매일 17:00 ~ 23:00,"편안한,맛있는,가성비좋은,매콤한,닭발,막창집,돼지막창,직화구이,소금막창,저녁,술한잔,동네맛집"
누커리,카페,5,56,"서울 중랑구 겸재로50나길 76 센텀하우스 1층 103호
(지번) 면목동 65-1",37.58558545,127.0937518,070-4099-0455,"플레인 휘낭시에 (3,000원); 무화과 크림치즈 휘낭시에 (3,000원); 고구마 크림치즈 휘낭시에 (3,000원); 누룽지 소보로 휘낭시에 (3,000원); 코코넛 연유 휘낭시에 (3,000원); 선물 포장 (1,000원); 누커리 라떼 (5,300원); 씨솔트 아인슈페너 (5,300원); 아메리카노 (3,800원); 카페라떼 (4,300원); 카푸치노 (4,300원); 연유 라떼 (4,800원); 헤이즐넛 라떼 (4,800원); 바닐라빈 라떼 (4,800원); 카라멜 라떼 (4,800원); 카페모카 (5,300원); 민트모카 (5,300원); 시나몬 라떼 (4,800원); 아샷추 (4,300원); 딸기 에이드 (4,800원); 청포도 에이드 (4,800원); 레몬 에이드 (4,800원); 자몽 에이드 (4,800원); 유자 에이드 (4,800원); 캐모마일 (4,300원); 페퍼민트 (4,300원); 레몬 차 (4,800원); 자몽차 (4,800원); 유자차 (4,800원); 애플 유자 티 (5,300원); 자몽 허니 블랙 티 (5,300원); 딸기 라떼 (5,300원); 초코 라떼 (4,800원); 민트초코라떼 (4,800원); 말차 라떼 (5,300원); 로얄 밀크티 (5,300원); 복숭아 아이스티 (3,800원); 곡물 라떼 (5,300원); 고구마 라떼 (5,300원); 바닐라 아이스크림 크로플 (6,800원); 브라운 치즈 크로플 (7,800원); 플레인 크로플 (5,500원); 오레오 크로플 (7,500원); 로투스 크로플 (7,500원)","월, 수, 목, 금, 토, 일 09:00–18:00, 공휴일 08:30–18:00, 화요일 휴무","아늑한,편안한,조용한,다양한,휘낭시에,베이커리,디저트,선물용"
용마그집장어,장어,5,673,"서울 중랑구 용마산로 194 지하1층 B01-1호
(지번) 면목동 1342-8",37.57095531,127.0864021,02-2207-1817,"왕장어 (800g) 1마리 (48,000원), 국내산 자포니카 민물장어 2인분 (76,000원), 산꼼장어 (1kg) (50,000원), 장어즙 (30포) (66,000원), 냉면 (7,000원), 잔치국수 (6,000원), 들깨옹심이 (10,000원), 콩나물국밥 (8,000원), 보리밥 (8,000원), 장어탕 (10,000원), 갈비탕 (15,000원), 소갈비살 (180g, 양념) (20,000원)",영업시간 매일 11:00 ~ 22:30,"편하게,친절한,깔끔하고,맛있는,다양한,장어탕,꼼장어,민물장어,단골,접근성,단체모임,넓은공간,주말외식"
착한마라탕 본점,중국요리,5,136,"서울 중랑구 동일로 825 1층
(지번) 중화동 307-10",37.60408892,127.0787191,0507-1484-8688,"셀프 마라탕 (2,000원),마라탕(소) (11,900원),마라탕(중) (19,900원),마라탕(대) (26,900원),마라샹궈(소) (17,000원),마라샹궈(중) (26,000원),마라샹궈(대) (35,000원),마라반(소) (13,000원),마라반(중) (23,000원),마라반(대) (32,000원),쏸라펀 (11,000원),마라룽샤 (35,000원),마라새우(소 10미) (15,000원),마라새우(대 20미) (29,000원),꿔바로우(소) (11,000원),꿔바로우(중) (17,000원),꿔바로우(대) (22,000원),샹궈볶음밥(매움주의) (9,000원),새우볶음밥 (8,000원),물만두 (7,000원),멘보샤(6p) (7,000원),꽃빵 (3,000원),미니전 (2,000원)",매일 10:00 ~ 03:00,"편안한,다양한,매운,마라탕,마라샹궈,중화요리"
연어에반하다,"해물,생선",4.7,115,"서울 중랑구 봉화산로 42 2층
(지번) 중화동 303-68",37.60145574,127.0789136,02-434-1996,"킹린 하이볼 (6,000원),기린생맥주3+1 (7,000원),숙성연어(260g) (22,900원),한우육회 (19,900원),메로구이 (19,900원),니혼탕수육 (13,900원),1인연어 (13,900원),초밥용밥 (3,000원),육회용밥 (3,000원),연어타다끼 (19,900원),소고기타다끼 (19,900원),연어용샐러드 (3,000원),연어+육회 set (39,900원),연어+메로구이 set (39,900원),숙성연어+한우육회+메로구이 (57,900원),돼지고기숙주볶음 (13,900원),연어구이(몸통+머리) (9,900원),해물라멘 (6,900원),파인샤베트 (6,900원),왕새우튀김 (10,900원),타코와사비 (10,900원),치킨가라아게 (10,900원),시샤모구이 (10,900원),문어가라아게 (10,900원),케이준치킨샐러드 (10,900원),모듬고로케 (10,900원),오뎅나베 (16,900원),얼큰해물짬뽕탕 (16,900원),나가사끼짬뽕탕 (16,900원)",영업시간 매일 18:00 ~ 02:00,"편안한,아늑한,안락한,조용한,이자카야,연어,사케,술한잔,저녁"
알로이 짱,태국음식,4.8,143,"서울 중랑구 용마산로115길 71 황룡빌딩 2층
(지번) 망우동 491-37",37.59819763,127.0964223,02-434-0217,"카우카무 (11,000원), 팟캇파오무쌉 (11,000원), 팟타이 (12,000원), 깽키여우완 (15,000원), 꿍팟퐁커리 (12,000원), 커무양 (18,000원), 똠양꿍 (소) (18,000원), 카오무 (소) (17,000원), 꾸에이띠오무뜬 (10,000원), 똠얌가드언무 (소) (18,000원), 까이찌아오 무쌉 (8,000원)","월,수,목,금,토,일 10:45 – 20:30 (라스트오더 20:20),화요일 정기휴무","다양한,로컬,이색적인,특이한,이국적인,태국,쏨땀,똠양꿍,쌀국수,족발덮밥,팟타이"
온앤인커피,커피전문점,4.9,197,"서울 중랑구 사가정로43길 6 청운명가 101호
(지번) 면목동 606-32",37.58141947,127.0847748,02-222-2222,"베이글 샌드위치 (7,000원),에그감자&당근라페 (7,000원),잠봉뵈르&루꼴라 (10,000원),바스크치즈케이크(+생망고+요거트크림) (10,000원),로얄 밀크티 롤 (6,000원),큐브돌체라떼 (5,500원),딸기 포레누아 케이크 (7,500원),바닐라빈라떼 (5,000원),티라미수 (6,000원),아메리카노 (3,325원),미니토스트(+크림) (6,500원),아이스크림 라떼 (6,500원),초코나무숲 라떼 (6,800원),브라우니(+나뚜루 바닐라/녹차) (6,000원),블루베리요거트스무디 (5,500원),말차라떼 (5,000원),국화꽃차 (5,000원)",매일 10:30-18:30,"아늑한,조용한,반려동물동반,글루텐프리,휠체어가능,브런치,점심모임"
스시히로이,"초밥,롤",5,93,"서울 중랑구 면목로92라길 2 202호
(지번) 상봉동 102-3",37.59562301,127.0874502,02-6953-1753,"런치 오마카세 (50,000원), 디너 오마카세 (80,000원)","수~일 10:00–21:30 (15:00–17:00 브레이크타임), 월·화 휴무","가성비좋은,맛있는,친절한,깔끔한,고급스러운,오마카세,스시,사케,저녁식사,데이트코스,혼자갈만한"
오월의김밥,분식,4.5,354,서울 관악구 봉천로 605 1층 102호 / (지번) 봉천동 1657-21,37.4760912,126.9646038,02-876-7792,"밥도둑김밥 (5,700원), 샐러드김밥 (5,700원), 스팸김밥 (4,700원), 야채김밥 (3,700원), 치즈김밥 (4,200원), 매운참치김밥 (5,700원), 참치김밥 (5,200원), 매운오뎅김밥 (4,200원), 주먹밥(게살 or 참치) (3,500원)",영업시간 화~일 08:00 ~ 14:00,"맛있는, 매콤한, 고소한, 건강한, 가성비있는, 어묵, 주먹밥, 분식집, 키토김밥, 착한가격, 체험, 단골, 데이트, 등산화"
신림춘천집 본점,닭요리,4.8,529,서울 관악구 남부순환로 1600-8 1층 / (지번) 신림동 1640-28,37.48361304,126.9287456,02-887-8885,"100% 모짜렐라 치즈폭포 국내산 2++닭갈비 (16,000원), 2++ 국내산 춘천집 닭갈비 (14,000원), 매운 닭갈비 (14,000원), 2++국내산 닭갈비와 +돼지 두가지맛을 즐길수있는 제육닭갈비 (14,000원), 국가대표 (물/비빔) 막국수 (8,000원), 닭갈비의 마무리 계란품은 볶음밥 (3,000원), 치즈덕후 추천 계란품은 치즈볶음밥 (3,500원), 쟁반막국수 (소) (9,000원), 춘천닭갈비2인+모듬사리+음료수 (34,000원), 춘천닭갈비2인+막국수(물/비빔)+음료수 (37,000원), 춘천닭갈비2인+쟁반막국수(소)+음료수 (39,000원), 춘천닭갈비3인+모듬사리+음료수 (47,500원), 춘천닭갈비3인+쟁반막국수(소)+쫄면사리+음료수 (54,500원), 춘천닭갈비3인+쟁반막국수(대)+모듬사리+음료수 (62,500원), 치즈폭포 닭갈비2인+모듬사리+음료수 (38,000원), 치즈폭포 닭갈비3인+모듬사리+음료수 (53,500원)","월~목 11:30-23:00, 금~토 11:00-24:00, 일 11:00-23:00 (매일 15:00-16:30 브레이크타임)","데이트, 오래된, 편하게, 전통있는, 넓은, 닭갈비, 쫄면, 안심, 방송출연, 폭포, 캠핑, 접근성, 평일저녁, 진로"
메이지커피,커피전문점,4.6,58,서울 관악구 난곡로 363-1 2층 / (지번) 신림동 518-11,37.48643712,126.9134421,02-6326-5188,"신대방라떼 (6,300원), 아메리카노 (4,500원), 카푸치노 (5,000원), 캬라멜 라떼 (5,500원), 바닐라 라떼 (5,500원), 모카 라떼 (5,500원), 카페라떼 (5,000원), 아인슈페너 (6,000원), 크림 드 아몬드 (6,500원), 블랙 포션 (6,000원), 더치커피 (5,500원), 더치라떼 (6,000원), 히비스커스 (4,800원), 복숭아 홍차 (4,800원), 얼그레이 (4,800원), 페퍼민트 (4,800원), 카모마일 (4,800원), 딸기 범벅 (6,800원), 찐 아이스티(복숭아) (5,800원), 얼그레이 밀크티 (6,300원), 크림 드 쇼콜라 (6,900원), 크림 드 말차 (6,800원), 오레오 쉐이크 (6,900원), 민트초코 쉐이크 (6,900원), 말차 쉐이크 (6,900원), JIMI's hand 스콘 (2,700원), 꾸더덕 브라우니(호두) (3,800원), 클래식 치즈케익 (7,200원), 플로랑탱 아망드 (3,800원), 무화과 파운드케익 (3,800원)",매일 11:30 - 22:30,"맛있는, 친절한, 편안함, 조용하고, 아늑하고, 카페, 브라우니, 라떼, 디저트, 루프탑, 단체모임, 스터디카페, 노트북, 독서실, 공부하기좋은"
백산식당,삼겹살,4.5,146,서울 관악구 관악로14길 60 / (지번) 봉천동 1613-2,37.47844959,126.9557843,02-877-8271,"급랭삼겹살 (14,000원), 볶음밥 (4,000원), 치즈추가 (2,000원), 멸치국수 (5000원), 수제 김부각 (5000원), 메밀 비빔 막구수 (5000원)","월~금 14:00~24:00, 토 12:00~24:00, 일 12:00~22:00","푸짐한, 레트로, 맛있는, 친절한, 다양한, 삼겹살, 두부, 쌈채소, 날치알볶음밥,, 무한리필, 진로, 평일저녁, 술한잔, 단체모임"
