이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,한줄평
더백테라스 신용산점,햄버거,3.8,142,"서울 용산구 한강대로40길 26 3층
(지번) 한강로2가 147",37.53004777,126.9706246,02-797-3338,"칠리치즈프라이 (13,900원), 고구마튀김&윙프라이즈 (14,900원), 피쉬앤칩스 (18,000원), 트러플오일프렌치프라이 (13,900원), 치킨봉&치킨윙 (15,900원), 악마의베이컨 (5,000원), 멕시칸그릴콘(마약옥수수) (5,000원)",매일 11:00 ~ 22:00 · 휴게시간 매일 15:30 ~ 17:00,
이태원소주집,"호프,요리주점",4.6,10,"서울 용산구 녹사평대로40길 46 코레아노스 2층 202호
(지번) 이태원동 457-3",37.5343987,126.988211,070-7803-3720,"닭뽕탕 (28,000원), 이태원 보쌈 (32,000원), 대륙탕 (28,000원), 소주집 한우2+육회 (30,000원), 하노이오뎅탕 (26,000원), 대륙두루치기 (20,000원), 불 오 삼 (20,000원), 빠다치킨 (20,000원), 바지락술찜 (19,000원), 불고기숙주볶음 (19,000원), 먹태구이 (19,000원)",월~수 18:00 ~ 01:00,
양푼이동태탕,"해물,생선",4.5,81,"서울 용산구 후암로 18 1층
(지번) 후암동 244-72",37.54754431,126.9782071,02-324-0539,메뉴 없음,월요일,
구복만두,분식,3.7,736,"서울 용산구 두텁바위로 7 1층
(지번) 갈월동 59-13",37.54540615,126.9729924,02-797-8656,"구복전통만두 (7,500원), 새우만두 (8,500원), 김치만두 (7,500원), 샤오롱바오 (8,500원)",매일 11:00 ~ 23:00,
갯마을 한강로점,한식,3.2,149,"서울 용산구 서빙고로 56 1층
(지번) 한강로3가 65-550",37.52303754,126.9703364,02-795-2277,"만두국 (12,000원), 떡만두국 (12,000원), 떡국 (12,000원), 접시만두 (10,000원), 양지만두전골 (중) (40,000원), 차돌김치전골 (중) (40,000원), 수육 (45,000원), 모듬전 (25,000원), 녹두부침 (10,000원), 콩국수 (10,000원)",영업시간 매일 09:30 ~ 20:00 · 휴게시간 매일 15:30 ~ 17:00,
방울과꼬막,한식,3.3,309,"서울 용산구 대사관로30길 11-5 1층
(지번) 한남동 632-10",37.53268896,127.0057664,02-749-1019,"동죽수제비 (16,000원), 파계란콩나물라면 (8,000원), 최고통낙지미나리파전 (22,000원), 돼지삼겹보쌈 (25,000원), 참소라숙회 (27,000원), 뭉티기(소) (39,000원)",월~수 17:00 ~ 12:30,
유진막국수,국수,3.3,37,"서울 용산구 장문로 18 1층
(지번) 동빙고동 7-19",37.52844009,126.992382,02-797-2307,"유진막국수 (12,000원), 콩찌개 (20,000원), 족발 (45,000원), 냉채족발 (45,000원), 제육보쌈 (40,000원), 쟁반막국수 (30,000원), 홍어무침 (25,000원), 해물파전 (25,000원), 녹두빈대떡 (20,000원), 메밀부추전 (20,000원), 도토리묵 (20,000원), 오징어초장 (23,000원), 회막국수 (14,000원), 비빔밥 (12,000원), 시래기국 (12,000원), 묵사발 (10,000원), 육개장 (12,000원), 김치전골 (30,000원), 고기추가 (20,000원), 보쌈김치 (20,000원), 들깨미역국 (12,000원), 황태해장국 (12,000원), 공기밥 (1,500원)",매일 10:00 ~ 22:00,
눕카페&피자펍,카페,4.1,237,"서울 용산구 신흥로26길 20 해방타워 5층
(지번) 용산동2가 1",37.5451036,126.9838857,02-790-0789,"천혜향 에이드 (7,000원), 딸기 에이드 (8,000원), 비프 로제파스타 (13,900원), 비프 크림파스타 (13,900원), 페퍼로니 피자 (14,900원), 크런치포테이토 피자 (15,900원), 베이컨 피자 (15,900원)",매일 11:30 ~ 23:50,
단박왕돈까스,"돈까스,우동",3.6,189,"서울 용산구 백범로90길 74 1층
(지번) 문배동 11-14",37.53807675,126.9698651,02-718-1419,"금왕정식 (13,000원), 반반까스 (12,500원), 생선까스 (13,000원), 함박스테이크 (14,000원), 돈까스 (12,000원), 안심까스 (13,000원), 치즈까스 (15,000원)",영업시간 월~토 10:00 ~ 20:30,
써머레인,디저트카페,3.1,13,"서울 용산구 이태원로55가길 49 1층
(지번) 한남동 738-13",37.53632806,126.9993071,02-792-8114,"베이컨 와플 에그 베네딕트 (19,000원), 연어 와플 에그 베네딕트 (16,000원), 버섯와플 에그 베네딕트 (16,000원), 스매시드 아보카도 (17,000원), 오지 미트 파이 (17,000원), 프렌치토스트 (16,000원), 풀드포크샌드위치 (16,000원)",영업시간 매일 07:30 ~ 18:00,
츄르츄르라멘,일본식라면,4.1,121,"서울 용산구 청파로43길 11 1층
(지번) 청파동3가 104",37.54355126,126.9699954,02-707-0410,"챠슈2장 (9,000원), 차슈4장 (10,000원), 츄라멘 (7,500원), 연어스시(10p) (13,000원), 면추가(1회무료) (0원), 공기밥 (0원)",월요일,
조대포 남영본점,"육류,고기",4.1,248,"서울 용산구 한강대로 272-1 1층
(지번) 남영동 82-3",37.54262909,126.9729776,02-701-1060,"황제살 (14,000원), 꼬들살 (14,000원), 돼지막창 (14,000원), 소갈비살 (14,000원), 새우버터구이 (12,000원), 돼지양념껍데기 (8,000원), 된장찌개 (1,000원), 생갈매기살 (13,000원)",매일 14:00 ~ 05:00,
가마솥족발순대국,"족발,보쌈",4,101,"서울 용산구 후암로 62 1층
(지번) 후암동 12-4",37.55144444,126.977136,02-776-2223,"무침족발 (40,000원), 족발 (중) (25,000원), 미니족발 (13,000원), 양념족발 (18,000원), 홍어삼합 (55,000원), 순대모듬(대) (30,000원), 낙지볶음(대) (30,000원), 순대국 (9,000원), 얼큰술국 (20,000원), 돼지껍데기 (10,000원), 머릿고기 (18,000원), 배추전 (10,000원), 해물파전 (12,000원), 감자전 (15,000원), 녹두전 (15,000원)",영업시간 월~토 09:00 ~ 20:00 · 휴게시간 월~토 14:30 ~ 16:30,
타자기,카페,4.2,111,"서울 용산구 신흥로 97-5 2층
(지번) 용산동2가 1-508",37.54522798,126.9848824,010-4445-8918,"초코타자기 (6,500원), 바나나브레드 (7,000원), 초코정복 (6,500원), 아메리카노 (5,000원), 카페라떼 (5,500원), 팬지에이드 (7,500원)",매일 12:00 ~ 22:00,
에피세리꼴라주,양식,3.4,87,"서울 용산구 한남대로20길 47-24 리플레이스 D동 1층
(지번) 한남동 31-4",37.53536654,127.0100534,070-4104-7278,"오믈렛 (23,000원), 에그베네딕트 (23,000원), 바게트 프렌치토스트 (18,000원), 양고기 볼로네제, 파슬리 페스토에 버무린 딸리아뗄레 (27,000원), 성게알, 아부르가 캐비어를 올린 레몬 버터 스파게티니 (28,000원), 그뤼에르와 모짜렐라를 곁들인 소고기 라구 라자냐 (27,000원), 사프란과 제철 해산물로 맛을 낸 푸짐한 파스타 (35,000원), 버섯 리조또, 화이트 트러플 오일, 파마산 치즈 (25,000원), 사프란과 제철 해산물로 맛을 낸 빠에야 (38,000원), 새우, 가리비, 오징어, 샤프란 등을 넣은 스튜 (36,000원), 요거트와 허브, 레몬을 채운 로스트 치킨 (35,000원), 굵게 빻은 후추를 입혀 구운 호주산 안심 스테이크(150g) (48,000원), 굵게 빻은 후추를 입혀 구운 호주산 안심 스테이크(300g) (93,000원), 모렐 버섯을 넣은 크림소스와 치킨 (25,000원), 로스트한 감자로 감싼 프로방스풍 제철생선구이 (37,000원), 허브 크러스트를 입혀 구운 돼지 뼈등심 (31,000원), 토마토 퐁듀, 엔쵸비 (19,000원), 훈제 연어와 에그 샐러드 (17,000원), 아보카도 구아카몰리, 토마토, 양파, 고수 (19,000원), 요거트와 파프리카로 마리네이드한 컬리 플라워 (23,000원), 제철 생선 카르파치오 (18,000원)",월요일,
언양생고기 거북이김치삼겹살,"육류,고기",4,58,"서울 용산구 대사관로30길 6-6 1층
(지번) 한남동 641-4",37.53300812,127.0053294,02-795-5618,메뉴 없음,월~토 11:00 ~ 03:00,
한우생각,"육류,고기",3.3,33,"서울 용산구 후암로57길 37-3
(지번) 동자동 35-72",37.55180036,126.9741892,02-6929-0801,"등심 (180g) (29,000원), 채끝 (180g) (29,000원), 한우생각 모듬 (400g) (68,000원), 꽃등심 (180g) (34,000원), 살치 (180g) (38,000원), 꽃갈비 (180g) (38,000원), 안심 (180g) (38,000원), 특수부위 (180g) (38,000원), 안창살 (180g) (42,000원), 육회 (200g) (25,000원), 한우 따로국밥 (점심) (6,500원), 한우 곰탕 (점심) (7,000원), 갈비탕 (점심) (7,500원), 한우 육회비빔밥 (점심) (7,000원), 한우물냉면 (점심) (6,000원), 한우비빔냉면 (점심) (6,000원)",월~토 11:00 ~ 22:00 · 휴게시간 월~토 15:00 ~ 17:00,
한강집생태,"해물,생선",3.4,26,"서울 용산구 백범로 400 1층
(지번) 한강로1가 257-9",37.53576249,126.9730166,02-716-7452,"(한강집대표메뉴)생태매운탕(1인분) (16,000원), (한강집대표메뉴)마늘목살(160g)(2인분부터 주문가능) (16,000원), 생태지리탕(1인분) (16,000원)",매일 10:00 ~ 22:00,
도야집,한식,4.3,659,"서울 용산구 한강대로52길 27 1층
(지번) 한강로1가 225-3",37.53180466,126.9726328,010-6201-8521,"목살 (170g) (16,000원), 도야집시그니처세트 (55,000원), 뼈오겹살 (170g) (18,000원), 등심덧살 (170g) (18,000원), 통갈매기살 (170g) (17,000원), 김치찌개 (7,000원), 된장술밥 (7,000원), 갈치속젓볶음밥 (8,000원), 백김치물냉면 (7,000원), 백김치비빔냉면 (7,000원), 계란찜 (5,000원)",월~금 16:00 ~ 23:00,
마구로참치,참치회,4.5,114,"서울 용산구 한강대로 271 2층
(지번) 갈월동 92-14",37.5424183,126.9724042,02-704-8006,"생참치 스페셜 (58,000원), 생참치 골드 스페셜 (68,000원), 명품 혼마구로 스페셜 (90,000원), 마구로 1980 스페셜 (120,000원), 스페셜 정식 (38,000원), 참치초밥 (20,000원), 혼마구로초밥 (32,000원)",월~금 16:00 ~ 23:00,
셰프테이너,이탈리안,4.3,63,"서울 용산구 이태원로27길 101
(지번) 한남동 733-70",37.53770324,126.9949134,02-794-9171,"셰프테이너 리코타 치즈 샐러드 (16,000원), 해산물 토마토 스프 (18,500원), 감베로니 스파게티 (27,000원), 까르보나라 스파게티 (26,000원), 오징어 먹물 크림소스 리조또 (26,000원), 셰프테이너 리코타 치즈 샐러드 (16,000원)",매일 12:00 ~ 22:30 · 휴게시간 월~금 15:00 ~ 17:30,
꾸잉,베트남음식,4.2,36,"서울 용산구 이태원로 189 1층
(지번) 이태원동 123-33",37.53485527,126.9949144,02-796-1244,"차돌박이 쌀국수 (12,000원), 분버싸오（비빔국수） (13,000원), 직화 쌀국수 (13,000원), 모닝글로리 볶음 (9,000원), 분지우 스페셜 (13,000원), 양지 쌀국수 (11,000원), 전통 분짜 (15,000원), 새우볶음밥 (11,000원), 넴 (7,500원), 분지우 (11,000원), 넴루이 (16,000원), 코카콜라 （355ml） (2,500원), 스프라이트 （355ml） (2,500원), 제로콜라 （355ml） (2,500원)",영업시간 매일 09:00 ~ 21:30,
용문해장국,해장국,3.7,339,"서울 용산구 효창원로 110 1층
(지번) 용문동 8-95",37.53796969,126.9608836,,"용문해장국 (11,000원), 소뼈전골탕 (32,000원), 수육찜 (34,000원), 깍밥 (8,000원), 쟁반육면 (15,000원), 콜라355mL (1,500원), 사이다355mL (1,500원)",월~토 05:00 ~ 23:00 · 휴게시간 월~토 14:00 ~ 17:00,
기차길옆초밥,"초밥,롤",3.4,142,"서울 용산구 한강대로39길 20 1층
(지번) 한강로2가 2-192",37.53113706,126.968124,02-797-3771,"모듬회 (55,000원), 카니미소 (6,000원), 새마을호（12pcs） (23,000원), 통간장새우 (11,000원), 무궁화호（12pcs） (19,000원), 연어회 (45,000원), 참다랑어 (65,000원), 성게알 (13,000원), 연어알 (10,000원), 날치알 (5,000원), 타코와사비 (5,000원), KTX（참다랑어） (39,000원), 은하철도999 (37,000원), 연어다초밥 (27,000원), 참치뱃살 (4,500원), 장어 (4,000원), 황새치뱃살 (3,700원), 연어배꼽 (4,000원), 지느러미 (3,500원), 간장새우 (3,000원), 참치등살 (3,000원), 선어 (2,500원), 연어뱃살 (3,200원), 연어 (2,500원), 찐새우 (1,800원), 쭈꾸미 (1,800원), 계란초밥 (2,000원)",월~금 11:00 ~ 22:00 · 휴게시간 월~금 14:00 ~ 16:30,
일미장어,장어,4.3,71,"서울 용산구 후암로57길 35-15 지하1층
(지번) 동자동 35-44",37.55214333,126.9744105,02-777-4380,"장어구이정식 (36,000원), 평일런치 장어덮밥 (19,000원)",영업시간 월~금 11:30 ~ 21:00 · 휴게시간 월~금 13:30 ~ 17:30,
레이지파머스,양식,4.2,163,"서울 용산구 회나무로35길 5 A동
(지번) 이태원동 228-4",37.54035353,126.9931708,0507-1419-6301,"올 비건 2인 set (56,900원), 락토오보 2인 set (58,900원), 고사리 라구 라자냐(LACTO-OVO) (26,000원), 김 페스토 파스타(ALL VEGAN) (25,000원), 단호박 크림 뇨끼(LACTO-OVO) (25,000원), 머쉬룸 어니언 화덕피자(LACTO-OVO) (29,000원), 바질 페스토 파스타(ALL VEGAN) (26,000원), 캐슈넛 크림 미소 파스타(ALL VEGAN) (24,000원)",영업시간 매일 11:30 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:00,
우마미,일식,3.7,19,"서울 용산구 한강대로40길 20 1층
(지번) 한강로2가 145-1",37.53012176,126.9703674,02-797-5009,"농어도미탕 (30,000원), 대구매운탕 (25,000원), 대구지리 (25,000원), 민어,농어,도미 (변동가격), 민어탕 (변동가격), 복어매운탕 (30,000원), 복지리 (30,000원), 새우튀김 (30,000원), 생선초밥정식 (25,000원), 숙회초밥 (25,000원), 스페셜사시미 (100,000원), 연어초밥 (25,000원), 장어요리 (50,000원), 참치사시미 (100,000원), 특생선초밥 (변동가격), 회덮밥 (20,000원), 사시미 (0원), 특사시미 (0원)",월~토 11:30 ~ 22:30,
트로이,튀르키예음식,4.4,16,"서울 용산구 보광로 125 2층
(지번) 이태원동 130-1",37.53389728,126.9938991,02-792-2599,"믹스 라이스 플레이트 (11,900원), 믹스 소문 케밥 (10,900원), 양고기 라이스 플레이트 (10,900원), 닭고기 케밥 (6,900원), 양고기 케밥 (7,900원), 믹스 케밥 (8,900원), 닭고기 케밥＋라이스 (7,900원), 양고기 케밥＋라이스 (8,900원), 믹스 케밥＋라이스 (9,900원), 양고기 소문 케밥 (9,900원), 닭고기 소문 케밥 (8,900원), 닭고기 라이스 플레이트 (9,900원), 닭고기 케밥 박스 (7,900원), 양고기 케밥 박스 (8,900원), 믹스 케밥 박스 (9,900원), 감자튀김 (2,900원), 미닛메이드 오렌지 주스 （350ml） (3,000원), 씨그램 스파클링 워터 （350ml） (2,500원), 코카콜라 （355ml） (2,500원), 스프라이트 （355ml） (2,500원), 닥터 페퍼 （355ml） (2,500원), 코카콜라 제로 （250ml） (2,500원), 생수 （500ml） (1,000원)",월~금 12:00 ~ 02:00,
스시사와,"초밥,롤",3.3,49,"서울 용산구 이태원로55가길 18
(지번) 한남동 741-10",37.53763496,127.0001818,02-797-1112,"광어&연어초밥 12p (25,000원), 물회 (22,000원), 규동 (11,000원), 문어 초회 (35,000원), 스키야키 (35,000원)",매일 10:00 ~ 02:00,
황토마당,"해물,생선",4.3,39,"서울 용산구 한강대로62나길 20 1층
(지번) 용산동3가 1-1",37.53439364,126.9748632,,"흑산홍어 (1인분) (34,000원), 국내산참홍어 (1인분) (34,000원), 돼지고기 (8,000원)",월~금 18:00 ~ 22:00,
술탄터키케밥하우스,튀르키예음식,4,20,"서울 용산구 보광로 126
(지번) 이태원동 127-28",37.53403794,126.9942426,02-749-3890,"1. TURKISH KEBAB CHICKEN（닭고기） 터키케밥 (6,900원), 2. TURKISH KEBAB LAMB（양고기）터키케밥 (7,900원), 4. GRILL CHEESE KEBAB LAMB 그릴치즈케밥 램（양고기） (10,900원), 6. TOMBIG KEBAB LAMB （양고기） 톰빅케밥 (8,900원), 7. TOMBIG KEBAB MIX （닭&양） 톰빅케밥 (9,900원), 8. RICE WRAP CHICKEN （라이스 닭） (7,900원), 9. RICE WRAP LAMB （라이스 양고기） (8,900원), 10. RICE WRAP MIX （라이스 닭&양） (9,900원), 3. TURKISH KEBAB MIX （닭&양） 터키케밥 (8,900원), 4. GRILL CHEESE KEBAB CHICKEN 그릴치즈케밥（닭고기） (9,900원), 4. GRILL CHEESE KEBAB MIX（닭＋양）그릴치즈케밥 믹스（닭고기&양고기） (11,900원), 후무스 갈릭 케밥 치킨（Humus Garlic Kebab chicken） (9,900원), 후무스 갈릭 케밥 양（Humus Garlic Kebab Lamb） (10,900원), 후무스 갈릭 케밥 믹스（Humus Garlic Kebab mix） (11,899원), 5. TOMBIG KEBAB CHICKEN （닭고기） 톰빅케밥 (7,900원), 15. KEBABBOX CHICKEN（케밥 박스 치킨） (9,900원), 16. KEBAB BOX LAMB （케밥 박스 양고기） (10,900원), 17. KEBABBOX MIX（케밥 박스 믹스 닭&양） (11,900원), 18. CHEESE TOAST KEBAB CHICKEN 치즈토스트 케밥 치킨 (8,900원), 19. CHEESE TOAST KEBAB LAMB（양） 치즈토스트 케밥 (9,900원), 20. CHEESE TOAST KEBAB MIX（닭＋양） (10,900원), 21. FALAFEL WRAP （팔라펠 또띠아） (8,900원), 11. PILAF KEBAB CHICKEN （치킨 덮밥） (10,500원), 12. PILAF KEBAB LAMB （램 케밥 덮밥） (11,500원), 13. PILAF KEBAB MIX （닭＋양 덮밥） (12,500원), 14. ISKENDER KEBAB （이스켄데르 케밥） (19,900원), POTATO FRIES （감자튀김） (3,900원), 어니언링 (4,900원), 치즈스틱 (4,900원), 커플 믹스 (24,900원)",매일 00:00 ~ 24:00,
르솔레이,"제과,베이커리",4.3,218,"서울 용산구 이태원로54길 28 2층
(지번) 한남동 683-6",37.53712588,127.0018383,0507-1315-6371,"마들렌 (변동가격), 까눌레 (변동가격), 에스프레소 (5,000원), 커피 (5,500원), 카페라떼 (6,000원), 플랫 화이트 (6,000원), 바닐라빈 라떼 (6,500원), 우유 (4,500원), 그린티 라떼 (7,500원), 쑥 라떼 (7,500원), 오렌지 에이드 (7,500원), 완도 유자 에이드 (7,500원), 문경 오미자 에이드 (7,500원), 프랑스 꼼빠니 꼴로니알 티 (잎차) (7,000원)",영업시간 매일 12:00 ~ 20:00,
오늘,한정식,4.8,20,서울 용산구 동빙고동 1-54 2층,37.52620038,126.996015,02-792-1054,"달빛 한상 (220,000원), 오늘 한상 (160,000원), 소담 차림 (65,000원), 다담 차림 (78,000원)",월~토 12:00 ~ 22:00 · 휴게시간 월~토 15:00 ~ 18:00,
브랑쿠시,커피전문점,3.3,75,"서울 용산구 새창로 104 1층
(지번) 용문동 28-65",37.5380752,126.9598184,070-4466-9371,"더티커피 (5,500원), 펌킨치즈케이크 (6,500원), 진저레몬티 (HOT) (6,000원), 아메리카노(싱글오리진) (4,500원), 크람블말차갸또 (6,500원)",매일 11:00 ~ 23:00,
오아시스 한남점,디저트카페,3.1,373,"서울 용산구 이태원로45길 30 1,2층
(지번) 한남동 745-10",37.5366078,126.9979851,02-790-8906,"타이 누들샐러드 (25,000원), 치킨 아보카도샐러드 (22,000원), 오늘의스프 (11,000원), 치킨 아보카도 샌드위치 (19,500원), 에그 베네딕트 행 (21,000원), 런치파스타 (24,000원), 바나나호두 팬케익 (21,000원), 체리베리 팬케익 (21,000원), 새우&아보카도 샐러드 (22,000원), 고르곤졸라 치즈, 무화과 콤포트와 허니 샌드위치 (18,500원), 에그 베네딕트 훈제연어 (21,000원), 햄, 치즈, 토마토 오믈렛 (21,000원), 버섯&리코타 브루스케타 (21,000원), 그릴드 바나나 프렌치 토스트 (21,000원), 베리 콤포트 프렌치 토스트 (21,000원), 아메리카노(HOT) (5,500원), 플랫화이트 (6,000원), 라테 (6,500원), 에스프레소 / 마키아토 (5,500원), 카푸치노 (6,000원), 바닐라빈라테 (7,000원), 아이스크림라테 (7,500원), 아포가토 (8,000원), 오렌지에이드 (8,000원), 자몽에이드 (8,000원), 패션프루츠에이드 (8,000원), 허니레몬스쿼시 (8,000원), 오렌지 주스 (8,500원), 사과 당근 생강주스 (8,500원), 케일 사과 레몬주스 (8,500원), 차이티라테 (8,000원), 진저티라테 (7,500원), 아이스티복숭아 (7,000원)",영업시간 매일 09:00 ~ 18:00,
문배동육칼 본점,칼국수,3.3,350,"서울 용산구 백범로90길 50 1층
(지번) 문배동 34-1",37.53662284,126.9703239,,"육칼 (11,000원), 육개장 (11,000원), 육개장포장 (13,000원)",영업시간 매일 09:00 ~ 19:30,
베라피자나폴리 한남점,피자,3.1,35,"서울 용산구 이태원로 272 SPC빌딩 3층
(지번) 한남동 729-74",37.53871182,127.0020751,02-796-7223,"관자 봉골레 파스타 (36,000원), 해산물 토마토 리조또 (32,000원), 등심 스테이크 200g (69,000원), 안심 스테이크200g (74,000원), 마르게리타 피자 (25,000원), 모짜렐라 카프레제 (28,000원), 콰트로포르마지피자 (26,000원), 페페로니 버섯 피자 (27,000원), 3가지 버섯 피자 (29,000원), 프리아리엘리 살시차 피자 (28,000원), 뽀모도로&루꼴라 피자 (26,000원), 디아볼라 피자 (28,000원), 마르게리타 & 깔조네 피자 (27,000원), 로제 빠빠델레 파스타 (31,000원), 새우 날치알 파스타 (31,000원), 성게알 로제 파스타 (32,000원), 해산물 토마토 파스타 (31,000원), 볼로네제 가지 그라탕 (31,000원), 전복 리조또 (33,000원), 와규 스테이크 180g (59,000원), 안심 스테이크 （1＋＋ 한우）200g (125,000원), 치킨 스테이크 (39,000원), 시저 샐러드 (25,000원), 콥 샐러드 (27,000원), 데일리 샐러드 (25,000원), 샬롯소스 가리비 (25,000원), 한치 & 채소튀김 (25,000원), 옥수수 스프（180g） (10,000원), 양송이 스프（180g） (10,000원), 홍합바지락찜 (29,000원)",영업시간 매일 11:00 ~ 21:00,
르프리크 용산,햄버거,4.5,75,"서울 용산구 한강대로 37 에피소드 용산 1층 104,105호
(지번) 한강로3가 100",37.52482507,126.9630929,02-6080-9056,메뉴 없음,영업시간 매일 11:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:30,
선데이아보,카페,4.1,60,"서울 용산구 회나무로13길 52-43 1층
(지번) 이태원동 260-124",37.54161686,126.9910257,,"롱블랙 (4,000원), 라떼 (4,500원), 플랫화이트 (4,500원), 모카 (5,000원), 더티차이라떼 (5,500원)",영업시간 월~금 10:00 ~ 18:00,
페트라,아시아음식,4,11,"서울 용산구 녹사평대로40길 33 2층
(지번) 이태원동 552",37.53470454,126.9877103,02-790-4433,"술탄(치킨) (23,000원), 비리아니(비건) (20,000원), 캅사(치킨) (22,000원), 위드쿠스쿠스(치킨) (22,000원), 야채와쿠스쿠스 (20,000원), 만사프 (25,000원), 만디 (25,000원), 코프타 (23,000원), 페트라 스페셜 치킨 (25,000원), 임사칸치킨 (25,000원), 치킨케밥 (19,000원), 양갈비케밥 (40,000원), 시스 케밥 (20,000원), 홈무스 (11,000원), 올리브샐러드 (11,000원), 타볼리샐러드 (12,000원), 타히니샐러드 (14,000원), 그린샐러드 (10,000원), 파투셰 (12,000원), 피타 (2,000원)",영업시간 매일 11:30 ~ 21:00,
골드버튼커피,카페,3.8,142,"서울 용산구 한강대로80길 5 1층
(지번) 남영동 81-3",37.54267626,126.9731869,02-796-1478,"콜롬비아 (5,500원), 골든버튼 블렌드 (5,500원), 니트로커피 (5,500원), 모과&사과 에이드 (4,800원), 초콜렛 (4,300원), 시그니처 밀크티 (4,800원)",월~금 10:00 ~ 22:00,
용산화로,"육류,고기",3.8,181,"서울 용산구 한강대로76길 21-11 1층
(지번) 남영동 105-2",37.54207479,126.9741486,02-793-2968,"소갈비살 (64,000원), 차돌된장찌개 (9,000원), 차돌박이 (18,000원), 된장찌개 (8,000원), 김치찌개 (9,000원), 양갈비 (23,000원), 냉면 (7,000원), 삼겹살 (16,000원), 항정살 (18,000원), 가브리살 (18,000원)",월~금 11:00 ~ 22:00,
월간식당,양식,3.7,84,"서울 용산구 이태원로54길 58-12 1층
(지번) 한남동 683-69",37.53604659,127.0006346,02-6261-8293,"가지라자냐 (17,500원), 버터구이 새우 아보카도크림 샐러드 (18,000원), 브루스케타(5pcs) (16,500원), 닭목살튀김 (15,000원), 훈연생연어샐러드 (19,000원), 차돌박이 해물 짬뽕탕 (32,000원), 월간전골 (33,000원), 삼옥스튜 (32,000원), 국물족발과 감자매쉬(고수or루꼴라) (23,000원), 홍콩미엔 (28,000원), 크림 라구 파스타 (26,000원), 얼큰하고 매콤한 토마토 홍합찜과 빵 (20,000원), 성게알 볶음밥 (21,000원), 왕문어 카르파치오 (27,000원), 트러플 감자칩과 프로슈토 (15,000원), 깔라마리 (28,000원), 해산물 감바스(빵 포함) (28,000원), 마라야채볶음 (28,000원), 어린양 타코(고수or루꼴라) (21,000원), 소갈비 같은 양갈비 숯불 구이 (33,000원)",월~금 11:30 ~ 21:40 · 휴게시간 월~금 15:00 ~ 17:00,
주식,술집,3.9,27,"서울 용산구 한강대로52길 17-3 지하1층
(지번) 한강로2가 31",37.53218682,126.9720726,,"누룽지전가복 (58,000원), 장어튀김 (38,000원), 닭목살구이 (28,000원), 미나리새우전 (25,000원), 명란순두부 (22,000원), 모듬회 (55,000원), 보쌈 (35,000원), 묵은지등갈비찜 (37,000원), 어향오겹살 (23,000원), 미나리항정살 (29,000원), 명란감자전 (22,000원), 오겹살김치전 (22,000원), 소고기땡초전 (23,000원), 아귀간크림관자구이 (29,000원), 고추만두탕 (22,000원), 미나리회무침 (22,000원)",월~목 16:30 ~ 23:30,
코끼리베이글 2호점,"제과,베이커리",3.4,699,"서울 용산구 서빙고로91길 10 1-2층
(지번) 보광동 137-2",37.5243846,127.0016123,02-749-7778,"유기농 티 (6,500원), 햄 치즈 샌드위치 (8,600원), 연어 샌드위치 (8,600원), 하몽 샌드위치 (8,600원), 무화과 콤포트 샌드위치 (8,900원), 꼬또햄 샌드위치 (9,800원), 코끼리 샌드위치 (9,800원), 로마 샌드위치 (9,800원), 아메리카노 (4,300원), 카페라떼 (4,900원), 모카 (6,200원), 딥 초코 (6,200원), 아쌈 밀크티 (6,300원), 레몬 진저티(ONLY HOT) (6,800원)",영업시간 매일 08:30 ~ 18:30,
컴컴베이커리카페,디저트카페,3.2,119,"서울 용산구 한강대로44길 14 커뮤니크빌딩 1층
(지번) 한강로2가 112-1",37.53082334,126.9705889,02-788-7365,"돌체큐브 (6,500원), 말차 라떼 (ICE) (6,300원), 아메리카노 (ICE) (4,500원), 테디 케이크 (7,200원), 말차 샷 라떼 (6,500원), 인절미 크림 라떼 (ICE) (6,500원), 버터바 (5,000원), 카페 라떼 (5,000원), 바닐라 라떼 (5,500원), 솔티드 카라멜 라떼 (5,500원), 아인슈페너 (6,500원), 디카페인 더치커피 (5,000원), 자몽 에이드 (6,500원), 오미자 에이드 (6,500원), 청포도 에이드 (6,500원), 블루베리 에이드 (6,500원), 코코피치 (6,500원), 인삼 식혜 (6,500원), 인삼 라떼 (6,500원), 인삼차 (6,000원)",영업시간 월~금 08:30 ~ 21:30,
대박포차,실내포장마차,3.6,145,"서울 용산구 한강대로62길 52
(지번) 한강로1가 231-9",37.53263203,126.9733428,02-793-5965,"닭볶음탕 (30,000원), 간재미무침 (20,000원), 홍어 (20,000원), 오징어무침 (20,000원), 골뱅이무침 (15,000원), 두부김치 (15,000원), 꼼장어 (15,000원), 닭발 (14,000원), 오돌뼈 (14,000원), 제육 (14,000원), 똥집 (10,000원), 도토리무침 (15,000원), 동태전 (14,000원), 감자채전 (10,000원), 김치전 (10,000원), 파전 (10,000원), 부추전 (8,000원), 계란말이 (10,000원), 알탕 (15,000원), 짜글짜글이 (15,000원), 백합탕 (15,000원), 김치찌개 (14,000원), 어묵탕 (10,000원)",월~목 16:00 ~ 01:00,
